Time (Hour),Y (E1),Y (F1),Y (G1),Y (E2),Y (F2),Y (G2)
123.869167,2.1924,0.5768,-0.1087,2.7339,0.8736,-0.12
124.119167,2.1936,0.5701,-0.1098,2.7311,0.8735,-0.12
124.369167,2.1974,0.5665,-0.1089,2.7357,0.8759,-0.1212
124.619167,2.1981,0.5613,-0.1102,2.7212,0.8771,-0.1213
124.868889,2.2142,0.5608,-0.1089,2.7326,0.8779,-0.1233
125.118889,2.2141,0.5648,-0.1114,2.7284,0.8762,-0.1218
125.368889,2.2116,0.5596,-0.1101,2.7436,0.8783,-0.1218
125.619167,2.2147,0.5655,-0.1124,2.7509,0.8713,-0.1232
125.869167,2.2203,0.5602,-0.1117,2.7431,0.8658,-0.124
126.119444,2.2234,0.5566,-0.1116,2.7254,0.8662,-0.1231
126.369722,2.2258,0.5557,-0.1118,2.7276,0.868,-0.1231
126.619722,2.2283,0.5593,-0.1123,2.7229,0.8681,-0.1247
126.87,2.2312,0.5617,-0.1126,2.7263,0.8676,-0.1254
127.12,2.2293,0.5605,-0.1124,2.7226,0.8733,-0.1272
127.370278,2.2294,0.5624,-0.1146,2.7316,0.8776,-0.1263
127.620556,2.2304,0.5625,-0.1138,2.7275,0.8788,-0.1256
127.870833,2.2272,0.5626,-0.1126,2.73,0.8734,-0.1276
128.121111,2.2232,0.561,-0.1135,2.7258,0.8738,-0.1272
128.371389,2.2302,0.5633,-0.1146,2.7179,0.8745,-0.129
128.621667,2.2344,0.5647,-0.1144,2.71,0.8756,-0.1272
128.871667,2.2338,0.5644,-0.1135,2.7007,0.8751,-0.1266
129.121389,2.2308,0.5687,-0.115,2.7075,0.8751,-0.1285
129.371667,2.2318,0.5677,-0.1141,2.7193,0.8733,-0.1279
129.621944,2.2384,0.5688,-0.1153,2.7524,0.8717,-0.1285
129.871944,2.2441,0.5719,-0.1164,2.7661,0.8736,-0.1295
130.122222,2.244,0.574,-0.1166,2.7625,0.8779,-0.1307
130.3725,2.2549,0.5731,-0.1168,2.7543,0.8738,-0.1307
130.6225,2.2557,0.574,-0.116,2.7465,0.8737,-0.1302
130.872778,2.2549,0.5781,-0.1164,2.749,0.8761,-0.1301
131.1225,2.258,0.5792,-0.1159,2.7507,0.8745,-0.1295
131.3725,2.2552,0.579,-0.1153,2.7628,0.8776,-0.1309
131.6225,2.2625,0.5777,-0.1177,2.7776,0.8817,-0.132
131.8725,2.262,0.5833,-0.1174,2.7918,0.877,-0.1327
132.122778,2.2713,0.5859,-0.1173,2.7997,0.8838,-0.1327
132.373056,2.2692,0.5839,-0.1172,2.8041,0.8833,-0.1317
132.623333,2.2769,0.5911,-0.1177,2.7984,0.8813,-0.1322
132.873333,2.2784,0.592,-0.1183,2.768,0.8806,-0.1319
133.123611,2.2776,0.5906,-0.1192,2.7612,0.8817,-0.1329
133.373611,2.28,0.5915,-0.1198,2.771,0.882,-0.1329
133.623889,2.2875,0.5914,-0.1193,2.785,0.8801,-0.1341
133.873889,2.284,0.5917,-0.1192,2.781,0.8889,-0.1342
134.124167,2.2818,0.5922,-0.1202,2.7836,0.8854,-0.1342
134.374167,2.2802,0.5951,-0.1195,2.7803,0.8875,-0.1353
134.624444,2.2795,0.5963,-0.12,2.761,0.8865,-0.1359
134.874167,2.2847,0.6025,-0.12,2.7698,0.8827,-0.1358
135.124167,2.2937,0.6021,-0.1215,2.7664,0.8783,-0.1365
135.374167,2.2907,0.603,-0.122,2.7815,0.8754,-0.1374
135.624167,2.3016,0.6037,-0.123,2.7973,0.8768,-0.1372
135.874167,2.3058,0.6047,-0.1222,2.8114,0.8766,-0.1365
136.124167,2.3014,0.6011,-0.1229,2.8104,0.8793,-0.1386
136.374167,2.3074,0.5996,-0.1222,2.8033,0.8895,-0.1356
136.624444,2.3157,0.6004,-0.1231,2.7893,0.889,-0.1366
136.873889,2.3236,0.5944,-0.1246,2.7815,0.8938,-0.138
137.123333,2.3187,0.6014,-0.1234,2.7758,0.8943,-0.1389
137.373056,2.3208,0.6024,-0.1237,2.7918,0.8957,-0.1393
137.623333,2.3224,0.6066,-0.1245,2.8172,0.8957,-0.1378
137.873333,2.3261,0.6074,-0.1249,2.8284,0.8952,-0.1387
138.123333,2.331,0.6088,-0.1253,2.831,0.8923,-0.139
138.373333,2.3321,0.6105,-0.1248,2.8214,0.8943,-0.1398
138.623333,2.3282,0.6134,-0.1253,2.8067,0.894,-0.1379
138.873611,2.3337,0.6145,-0.1258,2.8095,0.8938,-0.141
139.123611,2.331,0.6086,-0.1267,2.8141,0.9027,-0.1398
139.373611,2.3379,0.6068,-0.1262,2.8303,0.9063,-0.1421
139.623611,2.3465,0.6125,-0.1267,2.8479,0.912,-0.1414
139.873889,2.3617,0.6147,-0.127,2.8559,0.9121,-0.1417
140.123889,2.3711,0.6162,-0.1275,2.8616,0.9125,-0.1417
140.373889,2.3732,0.6161,-0.1281,2.8527,0.9138,-0.1426
140.623889,2.3776,0.6215,-0.1285,2.8353,0.9134,-0.1411
140.873333,2.3778,0.625,-0.1271,2.839,0.9118,-0.1418
141.123611,2.3758,0.629,-0.1282,2.8562,0.9125,-0.1431
141.373889,2.3829,0.6296,-0.1292,2.8657,0.9139,-0.1444
141.623889,2.3957,0.6343,-0.1304,2.8755,0.9206,-0.1437
141.874167,2.4065,0.6314,-0.1287,2.889,0.9251,-0.1431
142.123611,2.4074,0.6321,-0.1289,2.8989,0.9253,-0.1444
142.373611,2.4142,0.6323,-0.1312,2.8843,0.9271,-0.1438
142.623611,2.4127,0.631,-0.1294,2.8606,0.9294,-0.1439
142.873889,2.4172,0.6324,-0.1296,2.8573,0.9385,-0.1429
143.123889,2.4231,0.6319,-0.1307,2.8617,0.9415,-0.1445
143.374167,2.4222,0.6334,-0.1304,2.8781,0.9468,-0.1463
143.624167,2.4342,0.6393,-0.1323,2.9133,0.9445,-0.1469
143.874167,2.434,0.6407,-0.1319,2.9157,0.951,-0.1473
144.124722,2.4391,0.6454,-0.1311,2.9195,0.9541,-0.1448
144.374722,2.4638,0.6538,-0.1309,2.9245,0.9618,-0.1445
144.625,2.5078,0.6751,-0.1311,2.9364,0.9702,-0.1445
144.875,2.5026,0.6803,-0.1318,2.9252,0.9787,-0.146
145.128056,2.4725,0.668,-0.1317,2.9066,0.9846,-0.1462
145.378056,2.4622,0.6733,-0.132,2.9399,0.9791,-0.1476
145.628333,2.4931,0.6843,-0.1322,2.9572,0.976,-0.1472
145.878611,2.4767,0.6765,-0.1341,2.949,0.9711,-0.1494
146.128889,2.471,0.6764,-0.1322,2.9559,0.9753,-0.1506
146.38,2.4706,0.6756,-0.1337,2.9667,0.9856,-0.1507
146.63,2.4777,0.6723,-0.134,2.9619,0.9824,-0.1508
146.880278,2.4726,0.6729,-0.134,2.9539,0.9845,-0.1507
147.130278,2.4775,0.6745,-0.1364,2.9433,0.9843,-0.1505
147.380556,2.4762,0.6776,-0.1364,2.9626,0.9875,-0.151
147.630556,2.485,0.6791,-0.1352,2.9797,0.9926,-0.1519
147.882222,2.4866,0.6733,-0.135,2.989,0.9985,-0.1519
148.136944,2.4828,0.6758,-0.1356,3.0114,1.0072,-0.1508
148.391389,2.4857,0.6759,-0.1366,3.0145,1.0108,-0.1512
148.641667,2.4817,0.6684,-0.1377,3.0228,1.0119,-0.1525
148.891944,2.4886,0.6764,-0.1376,3.0305,1.012,-0.152
149.143056,2.4884,0.6776,-0.1383,3.0217,1.0154,-0.152
149.393056,2.4961,0.6808,-0.1375,3.0226,1.0145,-0.1524
149.644722,2.5057,0.6873,-0.1382,3.0337,1.0153,-0.1527
149.897778,2.5065,0.6857,-0.1391,3.0482,1.0131,-0.1533
150.151389,2.5038,0.6931,-0.1398,3.0372,1.0122,-0.1521
150.402222,2.5114,0.6955,-0.1392,3.0281,1.0183,-0.1526
150.652222,2.5154,0.6957,-0.1389,3.0339,1.0267,-0.1535
150.902222,2.5176,0.6945,-0.1396,3.0261,1.0248,-0.1526
151.152222,2.523,0.6951,-0.1411,3.0266,1.0369,-0.1546
151.403611,2.5287,0.7016,-0.14,3.0343,1.0455,-0.1546
151.653889,2.5438,0.6981,-0.141,3.0396,1.053,-0.1545
151.907778,2.5494,0.6997,-0.1422,3.0447,1.0554,-0.1527
152.162222,2.5497,0.7001,-0.1409,3.0623,1.0534,-0.1538
152.412222,2.5492,0.7033,-0.1417,3.069,1.0572,-0.1558
152.661944,2.5467,0.7093,-0.1414,3.087,1.0645,-0.1555
152.916111,2.5575,0.7056,-0.1416,3.0791,1.0621,-0.1561
153.166389,2.5592,0.7101,-0.1421,3.0762,1.0646,-0.1542
153.416389,2.5595,0.7184,-0.1424,3.0768,1.0691,-0.1567
153.670556,2.5597,0.7261,-0.1411,3.0928,1.0776,-0.1561
153.923611,2.5674,0.7344,-0.142,3.1093,1.0787,-0.1562
154.173611,2.5719,0.7411,-0.1408,3.1261,1.088,-0.1564
154.423611,2.5718,0.7394,-0.142,3.1246,1.0961,-0.1566
154.673611,2.5703,0.7364,-0.1429,3.1296,1.0968,-0.1575
154.928333,2.5742,0.7361,-0.1441,3.123,1.0986,-0.1586
155.181944,2.5711,0.7369,-0.1437,3.1131,1.098,-0.1577
155.436667,2.5773,0.7383,-0.1422,3.1169,1.1028,-0.1591
155.690278,2.5843,0.74,-0.1437,3.1292,1.1084,-0.1605
155.944167,2.5987,0.745,-0.143,3.1558,1.1135,-0.1581
156.198333,2.604,0.7491,-0.1422,3.1704,1.1137,-0.1599
156.4525,2.6143,0.7428,-0.1444,3.1773,1.1152,-0.1602
156.7025,2.6179,0.7425,-0.1452,3.1811,1.1207,-0.1603
156.952778,2.6167,0.7442,-0.1461,3.1736,1.1218,-0.161
157.202778,2.6212,0.7505,-0.1461,3.1639,1.1288,-0.1613
157.4575,2.6163,0.7531,-0.1473,3.17,1.1402,-0.1608
157.7075,2.6257,0.7528,-0.1463,3.1923,1.1471,-0.1615
157.957778,2.6343,0.7544,-0.1466,3.2085,1.15,-0.1621
158.207778,2.6454,0.7538,-0.1465,3.2027,1.1564,-0.1606
158.458056,2.6459,0.758,-0.1487,3.2028,1.1541,-0.161
158.708056,2.6529,0.7557,-0.1473,3.2194,1.1638,-0.1611
158.958611,2.6591,0.7559,-0.1483,3.2214,1.1616,-0.1634
159.212222,2.6607,0.7619,-0.1466,3.2224,1.1649,-0.1617
159.4625,2.6578,0.7654,-0.1489,3.2154,1.1692,-0.1614
159.712778,2.6739,0.7738,-0.1482,3.2122,1.1747,-0.1634
159.963056,2.6737,0.7814,-0.1488,3.2266,1.1807,-0.1636
160.213056,2.6768,0.7831,-0.1492,3.2482,1.1891,-0.1647
160.463056,2.6889,0.7905,-0.1489,3.2522,1.1914,-0.1644
160.713333,2.7005,0.7916,-0.1486,3.244,1.1976,-0.164
160.966389,2.7034,0.7961,-0.15,3.2341,1.1973,-0.165
161.220278,2.7146,0.7985,-0.1503,3.2409,1.2072,-0.1659
161.475,2.7236,0.7931,-0.1503,3.2497,1.209,-0.1658
161.725,2.7268,0.7926,-0.1495,3.2592,1.212,-0.1659
161.974722,2.732,0.7905,-0.1495,3.2706,1.2174,-0.1636
162.226389,2.7525,0.8042,-0.1499,3.3097,1.2227,-0.1645
162.476389,2.7772,0.8239,-0.149,3.3359,1.235,-0.1642
162.726667,2.7776,0.8252,-0.1498,3.3275,1.2591,-0.1631
162.978056,2.7539,0.814,-0.1513,3.3142,1.2515,-0.1651
163.231944,2.7456,0.8133,-0.1512,3.3129,1.2443,-0.1665
163.481944,2.7498,0.8136,-0.1523,3.3272,1.242,-0.1658
163.732222,2.7569,0.8189,-0.1512,3.3446,1.2385,-0.1663
163.982222,2.763,0.8257,-0.1529,3.3498,1.2373,-0.1658
164.236667,2.7652,0.8229,-0.151,3.3535,1.2446,-0.1666
164.490556,2.7645,0.8234,-0.1528,3.3509,1.253,-0.1655
