,time_trial1_(hrs),tumor_cells_trial1_(ci),cart_cells_trial1_(ci),time_trial2_(hrs),tumor_cells_trial2_(ci),cart_cells_trial2_(ci)
0,32.086667,1.161263686432484,0.24785727033766514,32.086667,1.2820003728996063,0.24708662499700862
1,32.336944,1.1914069212921898,0.25877834939654887,32.336944,1.316144192275837,0.25768891926429516
2,32.586944,1.2237317842295063,0.26949273683928676,32.586944,1.3514880720758822,0.2680950479106251
3,32.837222,1.2581097443840046,0.28002581244633706,32.837222,1.3879718205791016,0.2783295972487684
4,33.087222,1.294264421083791,0.2903557693263392,33.087222,1.4253759306333416,0.288371314539657
5,33.3375,1.33207591671441,0.3005071763136987,33.3375,1.463644926232339,0.29824401837849407
6,33.5875,1.3712602229030697,0.31045907440521286,33.5875,1.5025553342445672,0.30792725987671987
7,33.837778,1.4117041799312997,0.32023519163254166,33.837778,1.5420550286704224,0.3174440603793746
8,34.088056,1.453164473690732,0.3298259535522339,34.088056,1.5819623047528593,0.3267850402901959
9,34.338056,1.4953932756825694,0.33922260903677365,34.338056,1.6220936473282261,0.3359416009773125
10,34.588333,1.5382840248111287,0.3484476147608776,34.588333,1.6623994846353078,0.34493555685496546
11,34.838056,1.5814936869250282,0.3574722322377597,34.838056,1.7026075966624055,0.35373881233588406
12,35.088333,1.6250138605792106,0.36633809646305615,35.088333,1.7427578498050742,0.3623919111584254
13,35.338611,1.6685487576716265,0.3750266182737911,35.338611,1.7826223525176332,0.3708766553011176
14,35.588889,1.7118977134540285,0.38353935837701386,35.588889,1.8220621528016878,0.37919449704373037
15,35.838889,1.7548128039988307,0.3918687471288066,35.838889,1.8608956409436628,0.3873379593667669
16,36.089167,1.7971891668519713,0.4000349041000579,36.089167,1.8990705198741642,0.395326639146382
17,36.339444,1.8387781732924435,0.4080300354480616,36.339444,1.9364043296690256,0.4031528455030914
18,36.589167,1.8792908703698348,0.4158386338720497,36.589167,1.9726791472706504,0.410801307109369
19,36.839444,1.9187068904314901,0.42349693899314145,36.839444,2.0079173873772223,0.41830744398003433
20,37.089444,1.9566934552619684,0.4309808365645169,37.089444,2.0418617873884712,0.4256475519425522
