,time_trial1_(hrs),tumor_cells_trial1_(ci),cart_cells_trial1_(ci),time_trial2_(hrs),tumor_cells_trial2_(ci),cart_cells_trial2_(ci)
0,33.3375,0.838427354960092,0.1447094639827089,33.3375,0.8235185040159108,0.1057007272490893
1,33.5875,0.9313446969543391,0.15159376638234923,33.5875,0.909074386996645,0.11415062772917073
2,33.837778,1.0219110405566156,0.1583927547960736,33.837778,0.9925032993684542,0.12249651161131497
3,34.088056,1.110047947365911,0.1650992992417442,34.088056,1.0737325064864225,0.1307296208638018
4,34.338056,1.1956877701155588,0.17170668035719985,34.338056,1.1526990444125649,0.1388416983801392
5,34.588333,1.2790468783673599,0.178230143778561,34.588333,1.2296018568996085,0.1468514545293812
6,34.838056,1.359878577662092,0.18464875557890054,34.838056,1.304212713544656,0.15473317746873644
7,35.088333,1.4385677219877426,0.19099157076713197,35.088333,1.3768862596338065,0.16252253797962352
8,35.338611,1.51495895720099,0.19724485177474294,35.338611,1.4474785514296544,0.17020266056193678
9,35.588889,1.5890782235182017,0.20340915031694295,35.588889,1.516012941428091,0.17777421541337513
10,35.838889,1.6608731817072004,0.20947834357401174,35.838889,1.582440330469546,0.1852296732520904
11,36.089167,1.7305297387047598,0.21546650613563795,36.089167,1.646932078241823,0.19258631590697586
12,36.339444,1.7979928101841134,0.2213673939010287,36.339444,1.7094365933220228,0.1998364659146561
13,36.589167,1.8631467754386253,0.2271688334546495,36.589167,1.7698459241273659,0.2069651562506498
14,36.839444,1.9263069276656626,0.2328971414639344,36.839444,1.828451704965267,0.21400471655389208
15,37.089444,1.9872861912122677,0.23853373096565056,37.089444,1.885079710559817,0.22093229859088412
16,37.339722,2.046246162290057,0.24409169137924197,37.339722,1.9398792687469275,0.2277639818582356
17,37.589722,2.1030820556770626,0.2495592513807393,37.589722,1.9927522308744892,0.234485289421766
18,37.84,2.1579465093499364,0.2549491475274711,37.84,2.043839811584847,0.2411118703601569
19,38.090278,2.2108014406916254,0.2602558303814008,38.090278,2.093105829654831,0.2476368950675123
20,38.340278,2.2616176930326546,0.26547412012342014,38.340278,2.1405221949246958,0.2540539850329957
21,38.590556,2.310534516667989,0.2706161989338003,38.590556,2.186217986565376,0.2603781127553503
22,38.840556,2.357469437525572,0.27567121938188827,38.840556,2.230115280212152,0.2665959288500925
23,39.090833,2.402552897454785,0.28065098080090845,39.090833,2.2723351633467725,0.27272193835030867
24,39.340833,2.4457112980957887,0.2855450361009862,39.340833,2.3128077703702457,0.27874328089414957
25,39.591111,2.487066674759747,0.29036482630674687,39.591111,2.351646565408075,0.2846740241643579
26,39.841111,2.526553351353319,0.2951002199612317,39.841111,2.3887888571168694,0.29050169269167825
27,40.091389,2.564285381195009,0.2997623252838131,40.091389,2.4243408751279625,0.29623994810157556
28,40.341667,2.600244105187319,0.30434640988929806,40.341667,2.45828404886373,0.30188295801963577
29,40.591389,2.6343816971915612,0.3088431247832072,40.591389,2.4905718805950587,0.3074192021690733
30,40.841667,2.6668763809148954,0.31327306978962005,40.841667,2.5213717497771357,0.3128740334193081
31,41.091389,2.6976099136011915,0.3176171368640196,41.091389,2.5505703441767547,0.3182239137998713
32,41.341667,2.7267453608459427,0.3218952460971209,41.341667,2.5783212870245285,0.3234933663113249
33,41.591667,2.754209044499032,0.3260935911952833,41.591667,2.6045531651405813,0.3286653773288261
34,41.841944,2.7800881785339286,0.33022206963444,41.841944,2.6293478472268927,0.3337521301519895
35,42.092222,2.8043777821442712,0.3342765814590786,42.092222,2.65269918500412,0.33874856486939675
36,42.341944,2.8270552342903623,0.3382489240481141,42.341944,2.674583558090087,0.3436445607452828
37,42.591389,2.848179712869073,0.3421444739300035,42.591389,2.695055951357046,0.3484467304516989
38,42.841389,2.8678452348283896,0.3459766773029915,42.841389,2.71420584342577,0.3531716409667475
39,43.091667,2.8860486842474167,0.34974150395736525,43.091667,2.732028772581158,0.35781431733369096
40,43.341667,2.9027758177258485,0.3534311660689844,43.341667,2.7485087348491843,0.36236514556210175
41,43.591944,2.918090012995734,0.3570544318133707,43.591944,2.763705948688042,0.36683492989641464
42,43.841944,2.931983567375308,0.3606038567681093,43.841944,2.7776103644578174,0.3712144761076726
43,44.092222,2.944513551046385,0.3640878969406544,44.092222,2.7902764674473253,0.3755142071663488
44,44.3425,2.955689997595539,0.3675031438677825,44.3425,2.8017117375378566,0.3797299072383842
45,44.5925,2.965528952785075,0.37084649465386316,44.5925,2.811929121755683,0.3838577337407001
46,44.842778,2.9740785334010926,0.3741259616149298,44.842778,2.8209749687378793,0.3879075678500977
47,45.092778,2.9813459423991593,0.37733483516779576,45.092778,2.8288527730587885,0.3918711125928082
48,45.342778,2.98736756511238,0.380477370762859,45.342778,2.835596803097294,0.3957536112965425
49,45.592778,2.9921695733852607,0.3835541437168072,45.592778,2.841230627200243,0.39955576316604596
50,45.842778,2.995778139062309,0.3865657293463285,45.842778,2.8457778137144807,0.403278267406064
51,46.093056,2.998221508700976,0.3895159442521606,46.093056,2.849265222352072,0.4069258311708771
52,46.343056,2.9995204503856208,0.39239881029432316,46.343056,2.8517086959229996,0.410491051142218
53,46.593333,2.9997040893758653,0.39522130451959125,46.593333,2.8531372901815835,0.41398254346378727
54,46.843333,2.998798215193302,0.3979777550512554,46.843333,2.8535714329798414,0.41739327940235854
55,47.093611,2.996827045174976,0.4006748575350233,47.093611,2.8530357072995516,0.4207315312200033
56,47.343611,2.993821154436023,0.4033071961276672,47.343611,2.8515548934629082,0.42399058274411844
